Original number scheme,Date,Site,Hydrology,Road,Mean_AIR_TEMP (C ),Soil_pH,Moisture,ugNH4/gDM,ugNO3/gDM,Soil_C_wt_%,Soil_N_wt_%,C/N_Ratio,denitrification,nitrification,Nmineralization
1,7/27/2017,Ag,wet,near,26.66,5.49,0.163207163,0.674845502,44.6522774,4.2,0.19,22.10526316,12.67,5.502,0.093971993
2,7/27/2017,Ag,wet,far,26.66,5.8,0.166237587,0.823105598,3.703975192,5.02,0.25,20.08,31.55,5.551,1.214358143
3,7/27/2017,Ag,dry,near,26.66,5.88,0.111513396,0.782963042,4.474074524,3.97,0.22,18.04545455,27.01,5.435,0.733783302
4,7/27/2017,Ag,dry,far,26.66,5.83,0.116921769,0.563639255,2.408276818,2.44,0.13,18.76923077,0.79,4.25,0.731294673
5,7/27/2017,Ag,wet,near,26.66,5.69,0.119292472,0.836941565,11.38240529,3.6,0.22,16.36363636,62.81,9.508,0.636884173
6,7/27/2017,Ag,wet,far,26.66,5.6,0.130536131,0.528190149,2.112760595,3.73,0.22,16.95454545,181.13,6.134,0.638051515
7,7/27/2017,Ag,dry,near,26.66,5.61,0.120199693,0.519598429,3.117590573,3.13,0.18,17.38888889,111.1,7.109,1.653652414
8,7/27/2017,Ag,dry,far,26.66,5.68,0.138461538,0.515236921,4.007398272,2.25,0.13,17.30769231,13.55,4.756,0.331680224
9,7/27/2017,Ag,wet,near,26.66,5.88,0.110105581,0.656991268,4.325192512,4.37,0.25,17.48,102.92,5.571,1.845516408
10,7/27/2017,Ag,dry,far,26.66,5.68,0.110255371,2.312367168,41.51505706,2.87,0.17,16.88235294,8.72,5.052,0.398971309
11,7/27/2017,Ag,wet,near,26.66,5.62,0.12100639,0.674556035,24.07646157,2.66,0.16,16.625,-0.34,4.778,0.333384566
12,7/27/2017,Ag,dry,far,26.66,5.8,0.111153119,0.637574405,5.366251242,2.72,0.15,18.13333333,104.17,4.528,0.69884057
1,7/27/2017,MSM,dry,NA,26.66,5.02,0.513503233,6.448665469,0.604562388,7.8,0.61,12.78688525,27.04,1.319,4.748204936
2,7/27/2017,MSM,wet,NA,26.66,5.38,0.498815166,14.08427201,0.56337088,5.24,0.3,17.46666667,109.11,0.512,1.001415221
3,7/27/2017,MSM,wet,NA,26.66,5.86,0.470504229,18.345059,0.519199783,6.63,0.32,20.71875,171.73,-0.164,0.293229575
4,7/27/2017,MSM,dry,NA,26.66,4.4,0.44707624,1.93617943,2.112195742,5.52,0.33,16.72727273,38.04,1.416,0.75441535
5,7/27/2017,MSM,dry,NA,26.66,5.1,0.409568261,2.750749702,0.628742789,4.39,0.22,19.95454545,19.28,0.261,2.021111031
6,7/27/2017,MSM,dry,NA,26.66,5.18,0.353823637,1.497040018,1.871300023,4.33,0.23,18.82608696,540.08,1.122,2.359616214
7,7/27/2017,MSM,dry,NA,26.66,4.89,0.42412298,1.622880245,1.298304196,5.65,0.33,17.12121212,158.17,0.359,1.683663446
8,7/27/2017,MSM,wet,NA,26.66,5.67,0.308602999,12.10895189,0.470903685,2.88,0.11,26.18181818,98.18,-0.058,0.348059718
9,7/27/2017,MSM,wet,NA,26.66,5.66,0.432971014,22.91077132,0.55111821,3.93,0.19,20.68421053,87.66,0.529,0.239792658
10,7/27/2017,MSM,wet,NA,26.66,5.84,0.36253422,6.797154272,0.500842946,2.73,0.09,30.33333333,37.53,-0.014,-0.500842946
11,7/27/2017,MSM,wet,NA,26.66,5.5,0.401716069,13.37157758,0.712095848,4.32,0.2,21.6,46.15,0.552,1.05239268
12,7/27/2017,MSM,dry,NA,26.66,4.82,0.498634413,2.839546656,0.732786234,5.85,0.41,14.26829268,31.59,-0.051,2.711256846
1,9/27/2017,Ag,wet,near,25.55,5.78,0.23206602,0.826790651,2.657541377,4.04,0.2,20.2,611.71,5.884,0.395367559
2,9/27/2017,Ag,wet,far,25.55,5.68,0.248996572,0.884542151,4.169984425,4.32,0.21,20.57142857,881.15,6.194,0.575292898
3,9/27/2017,Ag,dry,near,25.55,6.09,0.172866488,0.801227231,3.662753056,2.49,0.14,17.78571429,568.09,5.94,0.357302757
4,9/27/2017,Ag,dry,far,25.55,5.98,0.172110309,0.700226312,2.509144284,2.39,0.13,18.38461538,522.7,4.805,0.165438085
5,9/27/2017,Ag,wet,near,25.55,5.76,0.166550621,0.614582635,1.508521014,2.58,0.16,16.125,574.44,9.645,1.216924843
6,9/27/2017,Ag,wet,far,25.55,5.72,0.194503974,0.684163152,2.451584629,2.99,0.17,17.58823529,1030.22,6.365,1.146705857
7,9/27/2017,Ag,dry,near,25.55,5.74,0.148999958,0.628236637,3.883644666,2.04,0.14,14.57142857,540.43,6.875,0.751512489
8,9/27/2017,Ag,dry,far,25.55,5.62,0.152309306,0.585182919,2.021540994,1.97,0.11,17.90909091,421.63,5.115,0.203897528
9,9/27/2017,Ag,wet,near,25.55,5.77,0.227506766,0.864035093,3.949874712,3.03,0.17,17.82352941,1155.47,6.356,0.902518175
10,9/27/2017,Ag,dry,far,25.55,5.94,0.132409872,0.723866378,2.672737396,2.25,0.13,17.30769231,623.56,5.088,0.809254062
11,9/27/2017,Ag,wet,near,25.55,5.95,0.225784465,0.911738813,1.762695039,2.98,0.16,18.625,1215.78,5.893,1.075696056
12,9/27/2017,Ag,dry,far,25.55,5.82,0.158987099,0.71069201,1.85873295,2.72,0.16,17,914.83,5.539,0.72763531
1,9/27/2017,MSM,dry,NA,25.55,4.87,0.374656013,2.463144938,0.615786234,3.67,0.23,15.95652174,465.03,0.955,-0.184976883
2,9/27/2017,MSM,wet,NA,25.55,4.75,0.570370834,4.522802724,1.103122615,8.61,0.56,15.375,1088.63,0.419,0.690376945
3,9/27/2017,MSM,wet,NA,25.55,5.24,0.559855916,4.250992738,0.804241869,4.93,0.34,14.5,1429.32,-0.057,0.196260034
4,9/27/2017,MSM,dry,NA,25.55,4.69,0.330970538,3.325409934,0.173198434,5.03,0.32,15.71875,331.26,1.116,0.036207882
5,9/27/2017,MSM,dry,NA,25.55,5.2,0.476391189,3.553158536,0.621802744,6.07,0.36,16.86111111,458.23,0.338,0.441936606
6,9/27/2017,MSM,dry,NA,25.55,5.33,0.443299569,2.187529463,0.673085989,5.04,0.3,16.8,414.51,1.131,0.07713513
7,9/27/2017,MSM,dry,NA,25.55,5.05,0.413477052,1.629594387,0.570358036,3.42,0.17,20.11764706,286.58,0.34,0.072364902
8,9/27/2017,MSM,wet,NA,25.55,5.73,0.383639774,7.685184581,0.621025017,3.26,0.13,25.07692308,295.14,-0.024,-0.090397345
9,9/27/2017,MSM,wet,NA,25.55,5.71,0.41202643,7.939650533,0.501451613,3.54,0.16,22.125,570.55,0.461,-0.509792402
10,9/27/2017,MSM,wet,NA,25.55,5.79,0.411629591,10.26179386,0.684119591,2.64,0.12,22,485.63,0.05,0.023883315
11,9/27/2017,MSM,wet,NA,25.55,5.31,0.424780849,8.63780763,0.785255239,4.56,0.25,18.24,952.86,0.382,0.446309876
12,9/27/2017,MSM,dry,NA,25.55,5.16,0.348288133,1.543608571,0.588041361,3.21,0.14,22.92857143,297.2,-0.039,-0.014589407
1,12/13/2017,Ag,wet,near,1.66,5.67,0.266514806,3.473930959,0.721004539,4.27,0.16,26.6875,105.48,1.194820046,1.988089421
2,12/13/2017,Ag,wet,far,1.66,5.75,0.28203094,4.722575915,0.752874421,3.4,0.14,24.28571429,846.73,1.126117149,0.983070129
3,12/13/2017,Ag,dry,near,1.66,6.06,0.242345034,7.71008496,0.653397031,2.38,0.13,18.30769231,988.29,3.020426629,1.599373132
4,12/13/2017,Ag,dry,far,1.66,5.65,0.249585406,5.00135052,0.460650706,3.08,0.13,23.69230769,533.99,2.055629136,1.75243
5,12/13/2017,Ag,wet,near,1.66,5.9,0.185018727,3.432650669,0.662441357,1.93,0.09,21.44444444,363.28,1.979758639,1.593243698
6,12/13/2017,Ag,wet,far,1.66,5.56,0.271685761,6.109593777,0.779948142,2.42,0.12,20.16666667,164.77,4.906522508,1.657835129
7,12/13/2017,Ag,dry,near,1.66,5.9,0.238452873,5.876884459,0.795828104,2.03,0.12,16.91666667,1299.08,5.094277707,1.857847058
8,12/13/2017,Ag,dry,far,1.66,5.88,0.213912344,3.191597935,0.662407119,2.03,0.11,18.45454545,818.77,3.727020068,0.579973481
9,12/13/2017,Ag,wet,near,1.66,6.14,0.233627667,9.277522125,0.441786768,2.8,0.13,21.53846154,536.68,2.06122913,2.944397362
10,12/13/2017,Ag,dry,far,1.66,5.93,0.215838509,5.544554453,0.739273927,1.46,0.08,18.25,899.11,5.00871684,1.624893917
11,12/13/2017,Ag,wet,near,1.66,6.06,0.247626582,5.658660501,0.460588645,2.87,0.15,19.13333333,1224.33,3.998192061,2.220418959
12,12/13/2017,Ag,dry,far,1.66,5.76,0.246559633,7.150354756,0.822607184,2.81,0.12,23.41666667,883.65,5.093145477,2.227601913
1,12/13/2017,MSM,dry,NA,1.66,5.06,0.364701436,4.491791258,0.193611692,3.32,0.18,18.44444444,315.18,0.447139886,2.402305162
2,12/13/2017,MSM,wet,NA,1.66,4.82,0.38097288,5.194587828,0.19676469,4.52,0.28,16.14285714,422.02,0.022963439,2.361467071
3,12/13/2017,MSM,wet,NA,1.66,5.12,0.322111388,4.516919674,1.003759928,3.83,0.15,25.53333333,206.6,-0.132010511,0.775086953
4,12/13/2017,MSM,dry,NA,1.66,4.84,0.408250967,2.707033693,0.199046595,5.37,0.32,16.78125,600.52,-0.264377254,2.494129166
5,12/13/2017,MSM,dry,NA,1.66,5.48,0.465509761,4.45358317,0.523950961,3.58,0.16,22.375,337.12,0.463092375,3.428480953
6,12/13/2017,MSM,dry,NA,1.66,5.46,0.333199195,2.197360072,0.952189365,3.96,0.19,20.84210526,455.98,0.218723592,1.530598507
7,12/13/2017,MSM,dry,NA,1.66,5.15,0.451734225,14.60972558,1.734904912,4.97,0.27,18.40740741,718.44,0.006673491,3.179376076
8,12/13/2017,MSM,wet,NA,1.66,5.38,0.306390182,16.34323782,0.575973139,3.19,0.11,29,195.97,-0.090597531,0.7558978
9,12/13/2017,MSM,wet,NA,1.66,5.52,0.300258844,8.21823339,1.018188208,3.1,0.11,28.18181818,27.77,-0.045313654,0.501595895
10,12/13/2017,MSM,wet,NA,1.66,5.23,0.334330911,10.14017342,0.976461144,2.48,0.09,27.55555556,-27.07,0.017050028,0.794680921
11,12/13/2017,MSM,wet,NA,1.66,5.14,0.417112299,16.00633688,0.221082001,4.18,0.18,23.22222222,365.74,-0.040959778,2.850801194
12,12/13/2017,MSM,dry,NA,1.66,4.98,0.567762269,7.271130948,0.275421627,4.55,0.23,19.7826087,595.58,0.014024957,3.183700465
